date,title,subtitle,claps,responses,story_url
01/06/2019,Do More of What You Hate,How to reverse engineer your life by getting pissed off,149,1,https://medium.com/swlh/do-what-you-hate-5b3dee390907?source=collection_archive---------9-----------------------
01/06/2019,Get back on the horse when you fall off,Returning to the gym after losing the habit,221,0,https://medium.com/swlh/get-back-on-the-horse-when-you-fall-off-1051e50f7358?source=collection_archive---------10-----------------------
01/06/2019,"Why you want to increase your website traffic by 10x, not 100x.",-,174,0,https://medium.com/swlh/why-you-want-increase-your-website-traffic-by-10x-not-100x-e2d28b02be9c?source=collection_archive---------11-----------------------
01/06/2019,A Green Thumb Secret to Startups,"If it shows signs of life, nurture the hell out of it.",146,0,https://medium.com/swlh/a-green-thumb-secret-to-startups-41e276e9529d?source=collection_archive---------12-----------------------
01/07/2019,Working with Geolocation and Geocoding in Flutter (And Integration with Maps),A guide to working with…,1.96K,16,https://medium.com/swlh/working-with-geolocation-and-geocoding-in-flutter-and-integration-with-maps-16fb0bc35ede?source=collection_archive---------0-----------------------
01/07/2019,Why learning more isn’t always better,When knowledge becomes a roadblock to success,9.7K,44,https://medium.com/swlh/why-learning-more-isnt-always-better-2154f75a71d6?source=collection_archive---------1-----------------------
01/07/2019,Your Company’s Promotion Process Is Broken,"What — rather, who — is the cost of the assumptions this…",4.5K,19,https://medium.com/swlh/your-self-review-process-is-broken-b8940d06c809?source=collection_archive---------2-----------------------
01/07/2019,How SpaceX Could Create Artificial Gravity on the Journey to Mars,-,657,13,https://medium.com/swlh/how-spacex-will-create-artificial-gravity-on-the-journey-to-mars-5da33e86aa9c?source=collection_archive---------3-----------------------
01/07/2019,The Realization It Was Leadership You Were Chasing All Along.,-,2.6K,14,https://medium.com/swlh/the-realization-it-was-leadership-you-were-chasing-all-along-b9c81801c7e4?source=collection_archive---------4-----------------------
01/07/2019,"Facebook — The Past, The Present, and The Future",The Journey of The Once Called “Startup”.,368,0,https://medium.com/swlh/facebook-the-past-the-present-and-the-future-d5a174617c8b?source=collection_archive---------5-----------------------
01/07/2019,Understanding Swift Closures,What are closures and how do they really work?,574,0,https://medium.com/swlh/understanding-swift-closures-8f6aa4ca3163?source=collection_archive---------6-----------------------
01/07/2019,Doctors May Soon Prescribe Video Games — Seriously,A video game has passed through Phase 3 clinical…,764,7,https://medium.com/swlh/doctors-may-soon-prescribe-video-games-seriously-dc47e9adc1ea?source=collection_archive---------7-----------------------
01/07/2019,How we got 50k users in 6 weeks,The high growth story of MeVee,396,3,https://medium.com/swlh/how-we-got-50k-users-in-6-weeks-22bfda4d417b?source=collection_archive---------8-----------------------
01/07/2019,How Digital Twins & AR Improve Safety and Minimize Inventory Shrinkage For Shopping Centers,-,75,0,https://medium.com/swlh/how-digital-twins-ar-improve-safety-and-minimize-inventory-shrinkage-for-shopping-centers-24a581fdc1ac?source=collection_archive---------9-----------------------
01/07/2019,Why Blockchain Technology is Quickly Growing in the Asian Countries?,-,36,0,https://medium.com/swlh/why-blockchain-technology-is-quickly-growing-in-the-asian-countries-e3f7b8d921a?source=collection_archive---------10-----------------------
01/07/2019,Preparing for The “No”— Let Rejection Be a Tool to Get What You Want,Getting past the “no thank you”…,182,2,https://medium.com/swlh/preparing-for-the-no-let-rejection-be-a-tool-to-get-want-you-want-5b1b50770217?source=collection_archive---------11-----------------------
01/07/2019,6 Types of Content Marketing and When to Use Them,-,99,0,https://medium.com/swlh/6-types-of-content-marketing-and-when-to-use-them-2dca1b509957?source=collection_archive---------12-----------------------
01/07/2019,Managing your mobile workforce in 2019,-,14,0,https://medium.com/swlh/managing-your-mobile-workforce-in-2019-fbd1a309388e?source=collection_archive---------13-----------------------
01/07/2019,The One Truth You Must Understand to Revolutionize Your Life,-,127,3,https://medium.com/swlh/the-one-truth-you-must-understand-to-revolutionize-your-life-2ca98f2be9d4?source=collection_archive---------14-----------------------
